FlightID,Date,RouteID,Departure Delay,AircraftID,Scheduled Departure,Avg Ticket Price,Total Fare,Flight Month,Flight Year
Flight1,41972,ORD-BOS,3.9,43,6:00:00 PM,450.00,74250,11,2014
Flight2,41967,ORD-JFK,6.8,61,7:00:00 PM,375.00,61875,11,2014
Flight3,42238,ORD-EWR,2.7,72,5:00:00 PM,247.50,44798,8,2015
Flight4,41833,ORD-LAX,3.8,172,5:30:00 PM,385.00,63525,7,2014
Flight5,42135,ORD-IAH,3,89,5:00:00 PM,200.00,36200,5,2015
Flight6,42359,ORD-CLT,3.5,91,11:30:00 AM,175.00,32375,12,2015
Flight7,41726,ORD-DEN,1.7,138,3:00:00 PM,300.00,55500,3,2014
Flight8,42318,ORD-DFW,2.3,131,6:00:00 PM,200.00,37000,11,2015
Flight9,41774,ORD-ATL,10.6,23,6:00:00 PM,200.00,37000,5,2014
Flight10,41900,ORD-CLT,2,169,7:00:00 AM,125.00,20625,9,2014
Flight11,42219,ORD-MCO,2.6,197,6:00:00 PM,275.00,45375,8,2015
Flight12,41648,ORD-LAX,3.2,209,12:30:00 PM,350.00,57750,1,2014
Flight13,42234,ORD-SFO,1.6,97,10:00:00 AM,412.50,76313,8,2015
Flight14,41828,ORD-LAX,5.5,6,5:00:00 PM,385.00,71225,7,2014
Flight15,41676,ORD-LAX,4.1,116,3:00:00 PM,350.00,64750,2,2014
Flight16,41736,ORD-SEA,2.1,178,3:30:00 PM,350.00,57750,4,2014
Flight17,41716,ORD-MCO,2.3,154,5:30:00 PM,250.00,41250,3,2014
Flight18,42208,ORD-MSP,1,100,6:00:00 PM,126.50,23403,7,2015
Flight19,41996,ORD-DEN,4.1,7,7:00:00 AM,420.00,77700,12,2014
Flight20,41733,ORD-DEN,1.3,190,7:00:00 PM,300.00,49500,4,2014
Flight21,42119,ORD-DFW,1.5,63,6:00:00 PM,200.00,36200,4,2015
Flight22,41723,ORD-BOS,1.6,194,9:00:00 AM,300.00,49500,3,2014
Flight23,41954,ORD-LAX,5.2,137,7:00:00 AM,350.00,64750,11,2014
Flight24,41845,ORD-PHX,1.6,54,5:00:00 PM,275.00,45375,7,2014
Flight25,41824,ORD-CLT,2,166,2:00:00 PM,137.50,22688,7,2014
Flight26,41999,ORD-LGA,5.6,26,11:00:00 AM,385.00,71225,12,2014
Flight27,41823,ORD-IAH,0.8,204,7:00:00 PM,220.00,36300,7,2014
Flight28,41869,ORD-FLL,1.6,71,4:30:00 PM,330.00,59730,8,2014
Flight29,41818,ORD-ATL,7.3,149,10:30:00 AM,220.00,40700,6,2014
Flight30,42290,ORD-MCO,2.2,123,6:30:00 PM,250.00,46250,10,2015
Flight31,42045,ORD-LAX,4.5,172,5:00:00 PM,350.00,57750,2,2015
Flight32,42361,ORD-DEN,3.8,11,6:00:00 PM,420.00,77700,12,2015
Flight33,42288,ORD-SFO,1.7,108,12:00:00 PM,375.00,69375,10,2015
Flight34,41695,ORD-MCO,1.2,74,4:00:00 PM,250.00,45250,2,2014
Flight35,42103,ORD-BOS,2.9,83,8:00:00 AM,300.00,54300,4,2015
Flight36,42300,ORD-JFK,1.7,141,4:30:00 PM,250.00,46250,10,2015
Flight37,42316,ORD-DFW,1.7,80,11:00:00 AM,200.00,36200,11,2015
Flight38,41822,ORD-EWR,1.8,20,5:00:00 PM,247.50,45788,7,2014
Flight39,42270,ORD-DFW,1.5,81,6:00:00 PM,200.00,36200,9,2015
Flight40,41866,ORD-CLT,2.7,86,2:00:00 PM,137.50,24888,8,2014
Flight41,42232,ORD-CLT,1.9,69,7:00:00 PM,137.50,24888,8,2015
Flight42,42359,ORD-EWR,3.3,43,5:00:00 PM,315.00,51975,12,2015
Flight43,42101,ORD-LGA,2,104,3:30:00 PM,275.00,50875,4,2015
Flight44,41866,ORD-LAS,1.2,166,5:00:00 PM,302.50,49913,8,2014
Flight45,42154,ORD-EWR,3,8,6:00:00 PM,225.00,41625,5,2015
Flight46,42006,ORD-EWR,2.5,205,7:00:00 PM,225.00,37125,1,2015
Flight47,42242,ORD-PHX,0.5,70,8:00:00 PM,275.00,49775,8,2015
Flight48,42201,ORD-MSP,2.2,1,2:30:00 PM,126.50,23403,7,2015
Flight49,42336,ORD-FLL,4.6,50,2:00:00 PM,450.00,74250,11,2015
Flight50,42261,ORD-DEN,1.3,87,5:00:00 PM,300.00,54300,9,2015
Flight51,42164,ORD-JFK,1.5,3,7:00:00 PM,275.00,50875,6,2015
Flight52,41887,ORD-LAS,3.5,155,11:30:00 AM,275.00,45375,9,2014
Flight53,42072,ORD-MIA,2.1,83,6:30:00 PM,300.00,54300,3,2015
Flight54,42095,ORD-MIA,1.6,206,8:00:00 AM,300.00,49500,4,2015
Flight55,42244,ORD-BWI,1.5,203,5:00:00 PM,264.00,43560,8,2015
Flight56,41952,ORD-BOS,3,173,12:00:00 PM,300.00,49500,11,2014
Flight57,41653,ORD-DTW,2.1,75,6:00:00 PM,115.00,20815,1,2014
Flight58,42331,ORD-LAX,10,17,5:00:00 PM,525.00,97125,11,2015
Flight59,42341,ORD-DFW,1.5,16,6:30:00 PM,200.00,37000,12,2015
Flight60,41747,ORD-JFK,1.9,82,7:00:00 AM,250.00,45250,4,2014
Flight61,41996,ORD-BOS,3.2,125,8:00:00 AM,420.00,77700,12,2014
Flight62,41876,ORD-DEN,2.5,202,1:00:00 PM,330.00,54450,8,2014
Flight63,41847,ORD-MIA,2.9,136,7:00:00 PM,330.00,61050,7,2014
