City,ComfortableRetirees,DiverseWorkers,ElderMidscaleClass,EliteHouseholds,MassMarkets,ModestFamilies,ProsperousAcheivers,UpscaleMatures,WellheeledAffluents,YoungAffluentMobiles,YoungUpscaleFamilies,YoungUrbanMasses,Total
May,203,118,91,1,30,0,7,17,4,3,17,7,498
Aaronsburg,4,4,67,0,90,0,2,2,0,2,5,1,177
Abbeville,1426,2019,1782,53,1684,531,321,228,24,76,1156,779,10079
Abbot,104,47,31,0,17,0,0,2,0,0,2,1,204
Abbotsford,28,205,27,5,200,12,14,9,7,7,50,57,621
Abbott,19,31,90,4,22,0,3,19,1,4,23,7,223
Abbottstown,9,6,100,43,235,1,50,91,27,91,132,19,804
Abbyville,26,12,21,0,10,0,2,1,1,1,2,1,77
Abell,1,0,2,4,4,0,8,19,8,12,4,2,64
Aberdeen,1429,4776,2206,683,3110,1803,1476,1021,297,1471,1986,1820,22078
Aberdeen Proving Ground,1,1,6,8,42,5,1,4,0,4,21,72,165
Abernathy,43,78,203,5,104,9,32,15,5,31,101,38,664
Abilene,901,10651,2556,1329,3177,1328,1770,913,452,445,2561,1064,27147
Abingdon,890,776,1983,825,1194,637,647,534,472,1968,1250,1542,12718
Abington,78,9,475,620,1006,1,769,555,581,950,1176,487,6707
Abiquiu,4,15,435,1,23,0,1,2,1,3,3,2,490
Abita Springs,40,51,272,63,305,3,100,141,44,51,417,15,1502
Abrams,7,4,74,8,127,0,58,28,2,23,150,4,485
Absarokee,286,1,27,3,12,0,7,16,6,1,8,3,370
Absecon,31,139,369,639,417,324,1983,682,161,620,1912,232,7509
Acampo,36,7,376,16,233,1,136,192,25,100,206,124,1452
Accident,10,30,138,4,79,12,23,41,2,7,56,38,440
Accokeek,1,2,3,466,3,0,107,30,522,565,111,1,1811
Accomac,63,96,48,5,94,9,13,16,3,2,6,31,386
Accord,14,2,125,11,105,0,84,144,8,105,146,30,774
Ackerly,8,6,5,2,31,0,1,14,1,0,10,10,88
Ackerman,270,500,47,1,122,9,4,23,0,1,6,16,999
Ackley,102,51,191,8,60,5,27,26,10,21,54,9,564
