City,Total,Percentage
Houston,567640,50.229723063913745
Chicago,550579,84.72389974917314
Brooklyn,503335,68.74010350959104
Los Angeles,435664,65.04393293914576
New York,405625,61.16289676425269
Miami,330137,69.7531630807816
Philadelphia,325128,72.99309810290102
San Antonio,312299,70.98805951988318
Dallas,286835,64.20102149319295
Las Vegas,280130,74.28943704708529
Bronx,256492,79.26368073858055
Phoenix,255159,59.04240101270189
Columbus,253953,67.46327076270019
San Diego,248658,71.4925721271787
Denver,232656,71.40241386424593
Minneapolis,227825,55.635246351366185
Austin,225902,66.13177395507786
Portland,220225,52.12305596548984
Atlanta,218217,66.63779632200975
Jacksonville,212712,66.01743202076047
