Location,Location2,Location3,State,County,Land Area,WaterArea,Latitude,Longitude,Population Growth Rate,WhitePopulation,BlackPopulation,HispanicPopulation,AsianPopulation,HawaiianPopulation,IndianPopulation,OtherPopulation,MalePopulation,FemalePopulation,Number of Burgalaries reported,MedianAge,Crime Rate,Homicide Reported,CBSA_Type,FinanceNumber,Property Crime Rate,Housing Construction,HouseholdsPerZipCode,AverageHouseValue,Elevation
Alabama|Abbeville ,Abbeville ,Abbeville ,AL,Henry,107.749,3.128,31.593513,-85.228148,-1.41%,2186,1152,78,18,3,25,45,1647,1745,4,46.2,93,,Metro,10020,42.5,0.93%,1412,88900,499
Alabama|Adamsville ,Adamsville ,Adamsville ,AL,Jefferson,17.2545,0.1725,33.592857,-86.994015,-2.09%,2399,1511,79,17,3,41,45,1903,2068,10,39.6,403,,Metro,10050,186.5,-0.69%,1534,97100,600
Alabama|Addison ,Addison ,Addison ,AL,Winston,36.868,0.291,34.202745,-87.204788,-1.64%,1197,2,14,2,0,9,9,613,595,1,40.5,32,,,10060,15.5,2.64%,501,88700,827
Alabama|Alabaster ,Alabaster ,Alabaster ,AL,Shelby,18.6895,0.335,33.218709,-86.783546,1.25%,10545,1834,1338,154,12,108,696,6443,6670,19,35.6,670,0.5,Metro,10105,306,-2.25%,4590,160100,524
Alabama|Albertville ,Albertville ,Albertville ,AL,Marshall,58.703,0.5325,34.251568,-86.25698,-0.02%,8165,260,2794,62,30,181,1979,5206,5207,5,32.4,779,0.5,Micro,10120,378,0.70%,3720,101700,592
Alabama|Alexander City ,Alexander City ,Alexander City ,AL,Tallapoosa,108.7975,12.8,32.901124,-85.917795,-0.16%,6940,3055,446,92,15,63,349,4984,5425,32,40.8,797,0.5,,10150,358,1.12%,4238,91800,717
Alabama|Aliceville ,Aliceville ,Aliceville ,AL,Pickens,117.801,2.0925,33.011965,-88.183705,-0.99%,518,1962,27,7,0,11,15,1161,1326,5,40.8,53,,Metro,10170,21.5,0.95%,1001,63700,256
Alabama|Anniston ,Anniston ,Anniston ,AL,Calhoun,65.715,0.3835,33.677138,-85.91992,-0.49%,5283,4694,203,41,11,94,118,4846,5233,207,38.2,2247,2,Metro,10300,855.5,0.25%,4022,58300,730
Alabama|Arab ,Arab ,Arab ,AL,Marshall,37.1735,0.293,34.321754,-86.496857,-5.22%,8180,34,159,54,9,143,88,4092,4298,15,40.7,613,,Micro,10320,283.5,-3.51%,3424,114100,592
Alabama|Ardmore ,Ardmore ,Ardmore ,AL,Limestone,13.5605,0.0475,34.956162,-86.811034,0.54%,2335,180,72,32,1,44,33,1252,1321,1,38.1,24,,Metro,19999,11,-0.48%,994,105900,720
Alabama|Ashford ,Ashford ,Ashford ,AL,Houston,38.5025,0.168,31.1841,-85.252892,0.03%,2686,384,29,7,3,32,12,1533,1561,3,41.8,62,,Metro,10390,28.5,2.04%,1244,102300,326
Alabama|Ashland ,Ashland ,Ashland ,AL,Clay,72.2265,0.36,33.230215,-85.867824,1.77%,2163,333,97,10,0,35,55,1234,1318,6,42.4,63,,,10400,26,0.05%,1055,70200,1130
Alabama|Ashville ,Ashville ,Ashville ,AL,Saint Clair,57.049,2.075,33.817665,-86.213044,8.90%,3304,299,83,28,1,50,41,1857,1803,5,40,81,,Metro,10410,34,4.63%,1374,91900,570
Alabama|Athens ,Athens ,Athens ,AL,Limestone,127.2845,9.234,34.765786,-87.108167,3.26%,9387,2303,1205,107,20,198,910,6078,6548,0,38.6,757,,Metro,10420,375.5,0.73%,5241,105200,720
Alabama|Atmore ,Atmore ,Atmore ,AL,Escambia,164.1055,0.894,31.174268,-87.494964,-3.54%,4666,3905,180,32,7,653,82,5101,4077,31,38,354,,,10430,140,-1.76%,3068,86800,82
Alabama|Auburn ,Auburn ,Auburn ,AL,Lee,85.3,0.8135,32.557826,-85.479864,2.92%,12704,2611,534,1131,21,124,288,8304,8297,,28.2,1780,0.5,Metro,10460,827,0.76%,7143,232400,822
Alabama|Bay Minette ,Bay Minette ,Bay Minette ,AL,Baldwin,167.4035,1.5235,30.886059,-87.758137,5.62%,7139,2223,157,75,5,184,83,4681,4864,17,37.8,368,,Metro,10580,160.5,-0.96%,3484,106700,278
Alabama|Bear Creek ,Bear Creek ,Bear Creek ,AL,Marion,18.6945,0.1125,34.213268,-87.74189,13.06%,560,0,8,2,1,7,6,290,279,4,40.7,36,,,10600,12.5,21.31%,231,50500,498
Alabama|Birmingham ,Birmingham ,Birmingham ,AL,Jefferson,174.6845,2.3175,33.5208,-86.8027,0.25%,0,0,0,0,0,0,0,0,0,1042,0,17298,26,Metro,10780,6964.5,0.79%,0,0,600
Alabama|Blountsville ,Blountsville ,Blountsville ,AL,Blount,64.7045,0.4285,34.117896,-86.562142,1.67%,3738,23,381,15,10,60,177,1993,1974,4,38.5,79,,Metro,10860,34.5,-0.28%,1521,89700,885
Alabama|Brent ,Brent ,Brent ,AL,Bibb,53.6825,0.3365,32.923422,-87.276234,-6.51%,1225,1534,44,3,4,7,14,1836,935,5,36.2,94,,Metro,11060,40.5,-6.13%,671,63400,224
Alabama|Brewton ,Brewton ,Brewton ,AL,Escambia,242.971,2.4505,31.144278,-87.067169,0.56%,5880,2081,142,41,5,106,92,3881,4220,15,40.4,276,,,11070,119.5,1.11%,3237,83500,82
Alabama|Brilliant ,Brilliant ,Brilliant ,AL,Marion,32.529,0.0655,34.050368,-87.752432,-5.03%,777,2,7,1,0,8,0,375,405,2,44.7,29,,,11100,13,-2.40%,346,66500,498
Alabama|Brookwood ,Brookwood ,Brookwood ,AL,Tuscaloosa,74.434,1.5995,33.331599,-87.259008,2.44%,1718,116,37,4,0,18,15,904,946,3,33.9,67,,Metro,11140,30,2.06%,668,106400,227
