Segments,VariableName,VariableCount
Well-heeled Affluents,Attitude: Prefer Auto and Residential with Same Carrier ,1656351
Prosperous Acheivers,Attitude: Prefer Auto and Residential with Same Carrier ,2388550
Young Affluent Mobiles,Attitude: Prefer Auto and Residential with Same Carrier ,3053584
Upscale Matures,Attitude: Prefer Auto and Residential with Same Carrier ,2003181
Elite Households,Attitude: Prefer Auto and Residential with Same Carrier ,2371356
Young Upscale Families,Attitude: Prefer Auto and Residential with Same Carrier ,3845970
Elder Midscale Class,Attitude: Prefer Auto and Residential with Same Carrier ,3139472
Comfortable Retirees,Attitude: Prefer Auto and Residential with Same Carrier ,1904409
Mass Markets,Attitude: Prefer Auto and Residential with Same Carrier ,4967302
Young Urban Masses,Attitude: Prefer Auto and Residential with Same Carrier ,3269245
Diverse Workers,Attitude: Prefer Auto and Residential with Same Carrier ,4331816
Modest Families,Attitude: Prefer Auto and Residential with Same Carrier ,1689095
Well-heeled Affluents,Buy Based on Quality- Not Price- Agree ,933276
Prosperous Acheivers,Buy Based on Quality- Not Price- Agree ,1345702
Young Affluent Mobiles,Buy Based on Quality- Not Price- Agree ,1901962
Upscale Matures,Buy Based on Quality- Not Price- Agree ,1068362
Elite Households,Buy Based on Quality- Not Price- Agree ,1349997
Young Upscale Families,Buy Based on Quality- Not Price- Agree ,2221763
Elder Midscale Class,Buy Based on Quality- Not Price- Agree ,1709107
Comfortable Retirees,Buy Based on Quality- Not Price- Agree ,1094782
Mass Markets,Buy Based on Quality- Not Price- Agree ,2792014
Young Urban Masses,Buy Based on Quality- Not Price- Agree ,2069153
Diverse Workers,Buy Based on Quality- Not Price- Agree ,2784539
Modest Families,Buy Based on Quality- Not Price- Agree ,1108450
Well-heeled Affluents,Buying Electronics- Do As Much Research as Possible- Agree ,878921
Prosperous Acheivers,Buying Electronics- Do As Much Research as Possible- Agree ,1210940
Young Affluent Mobiles,Buying Electronics- Do As Much Research as Possible- Agree ,1941511
Upscale Matures,Buying Electronics- Do As Much Research as Possible- Agree ,926002
Elite Households,Buying Electronics- Do As Much Research as Possible- Agree ,1334161
Young Upscale Families,Buying Electronics- Do As Much Research as Possible- Agree ,2205959
Elder Midscale Class,Buying Electronics- Do As Much Research as Possible- Agree ,1446985
Comfortable Retirees,Buying Electronics- Do As Much Research as Possible- Agree ,787940
Mass Markets,Buying Electronics- Do As Much Research as Possible- Agree ,2959690
Young Urban Masses,Buying Electronics- Do As Much Research as Possible- Agree ,2112325
Diverse Workers,Buying Electronics- Do As Much Research as Possible- Agree ,2749212
Modest Families,Buying Electronics- Do As Much Research as Possible- Agree ,1184246
Well-heeled Affluents,Change Brands Often for Variety/Novelty- Agree ,274319
Prosperous Acheivers,Change Brands Often for Variety/Novelty- Agree ,312704
Young Affluent Mobiles,Change Brands Often for Variety/Novelty- Agree ,700589
Upscale Matures,Change Brands Often for Variety/Novelty- Agree ,247757
Elite Households,Change Brands Often for Variety/Novelty- Agree ,484052
Young Upscale Families,Change Brands Often for Variety/Novelty- Agree ,799843
Elder Midscale Class,Change Brands Often for Variety/Novelty- Agree ,619983
Comfortable Retirees,Change Brands Often for Variety/Novelty- Agree ,475265
Mass Markets,Change Brands Often for Variety/Novelty- Agree ,1403578
Young Urban Masses,Change Brands Often for Variety/Novelty- Agree ,1142900
Diverse Workers,Change Brands Often for Variety/Novelty- Agree ,1641004
Modest Families,Change Brands Often for Variety/Novelty- Agree ,852494
Well-heeled Affluents,Don't Buy Based on Advertising- Agree ,817382
Prosperous Acheivers,Don't Buy Based on Advertising- Agree ,1163235
Young Affluent Mobiles,Don't Buy Based on Advertising- Agree ,1635898
Upscale Matures,Don't Buy Based on Advertising- Agree ,954821
Elite Households,Don't Buy Based on Advertising- Agree ,1171244
Young Upscale Families,Don't Buy Based on Advertising- Agree ,1946978
Elder Midscale Class,Don't Buy Based on Advertising- Agree ,1629095
Comfortable Retirees,Don't Buy Based on Advertising- Agree ,1027333
Mass Markets,Don't Buy Based on Advertising- Agree ,2718220
Young Urban Masses,Don't Buy Based on Advertising- Agree ,1994658
Diverse Workers,Don't Buy Based on Advertising- Agree ,2683649
Modest Families,Don't Buy Based on Advertising- Agree ,1160697
Well-heeled Affluents,Has Home/Personal Property Insurance Through an Agent ,700451
Prosperous Acheivers,Has Home/Personal Property Insurance Through an Agent ,1071689
Young Affluent Mobiles,Has Home/Personal Property Insurance Through an Agent ,1192648
Upscale Matures,Has Home/Personal Property Insurance Through an Agent ,872636
Elite Households,Has Home/Personal Property Insurance Through an Agent ,947059
Young Upscale Families,Has Home/Personal Property Insurance Through an Agent ,1682399
Elder Midscale Class,Has Home/Personal Property Insurance Through an Agent ,1309029
Comfortable Retirees,Has Home/Personal Property Insurance Through an Agent ,733913
Mass Markets,Has Home/Personal Property Insurance Through an Agent ,1852385
Young Urban Masses,Has Home/Personal Property Insurance Through an Agent ,653094
Diverse Workers,Has Home/Personal Property Insurance Through an Agent ,1240883
Modest Families,Has Home/Personal Property Insurance Through an Agent ,150139
Well-heeled Affluents,Has Residential Insurance for Primary Residence ,2527924
Prosperous Acheivers,Has Residential Insurance for Primary Residence ,3461788
Young Affluent Mobiles,Has Residential Insurance for Primary Residence ,4614521
Upscale Matures,Has Residential Insurance for Primary Residence ,2818531
Elite Households,Has Residential Insurance for Primary Residence ,3419722
Young Upscale Families,Has Residential Insurance for Primary Residence ,5596284
Elder Midscale Class,Has Residential Insurance for Primary Residence ,4445147
Comfortable Retirees,Has Residential Insurance for Primary Residence ,2676750
Mass Markets,Has Residential Insurance for Primary Residence ,6941661
Young Urban Masses,Has Residential Insurance for Primary Residence ,2960133
Diverse Workers,Has Residential Insurance for Primary Residence ,5559193
Modest Families,Has Residential Insurance for Primary Residence ,1235216
Well-heeled Affluents,"Has Residential Insurance, 1 Policy ",2155428
Prosperous Acheivers,"Has Residential Insurance, 1 Policy ",2945044
Young Affluent Mobiles,"Has Residential Insurance, 1 Policy ",4008479
Upscale Matures,"Has Residential Insurance, 1 Policy ",2518368
Elite Households,"Has Residential Insurance, 1 Policy ",2901021
Young Upscale Families,"Has Residential Insurance, 1 Policy ",5046605
Elder Midscale Class,"Has Residential Insurance, 1 Policy ",4144928
Comfortable Retirees,"Has Residential Insurance, 1 Policy ",2508544
Mass Markets,"Has Residential Insurance, 1 Policy ",6328679
Young Urban Masses,"Has Residential Insurance, 1 Policy ",2663579
Diverse Workers,"Has Residential Insurance, 1 Policy ",5174147
Modest Families,"Has Residential Insurance, 1 Policy ",1025418
Well-heeled Affluents,"Has Residential Insurance, 2 Policies ",298359
Prosperous Acheivers,"Has Residential Insurance, 2 Policies ",453510
Young Affluent Mobiles,"Has Residential Insurance, 2 Policies ",470317
Upscale Matures,"Has Residential Insurance, 2 Policies ",273048
Elite Households,"Has Residential Insurance, 2 Policies ",390362
